what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1397095004197
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1397095004198
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1397095004198
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1397095004199
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397095004199
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1397095004200
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397095004200
os,sysinfo,,,"win32",1397095004203
arch,sysinfo,,,"x86_64",1397095004203
ws,sysinfo,,,"win32",1397095004203
locale,sysinfo,,,"en_US",1397095004203
processors,sysinfo,,,"4",1397095004203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397095004203
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1397095004203
java.specification.name,sysinfo,,,"Java Platform API Specification",1397095004203
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397095004203
java.specification.version,sysinfo,,,"1.7",1397095004203
java.vendor,sysinfo,,,"Oracle Corporation",1397095004203
java.version,sysinfo,,,"1.7.0_09",1397095004204
java.vm.info,sysinfo,,,"mixed mode",1397095004204
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1397095004204
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397095004204
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397095004204
java.vm.specification.version,sysinfo,,,"1.7",1397095004204
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397095004204
java.vm.version,sysinfo,,,"23.5-b02",1397095004204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095007081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095008629
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1397095011307
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1397095013195
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1397095013340
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1397095013362
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1397095013399
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1397095013516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095013647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397095030836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095039157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1397095041151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1397095042293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1397095043327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1397095043857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1397095044409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095053232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095055679
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1397095055697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095071405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095079636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095086269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095088343
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1397095091219
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397095091262
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1397095091295
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1397095091301
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1397095091676
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095091711
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095091847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095091864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095091959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095104114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095110859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095113262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095115657
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397095118437
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397095118476
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095126561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1397095130178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397095131970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397095132340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397095132683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095143272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095148430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095149628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095153899
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397095159725
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095159729
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1397095159745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095160139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095166762
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1397095167707
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1397095168666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095170319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397095175069
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1397095186266
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1397095186380
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095187345
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095187397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095187519
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1397095187947
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1397095188011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095189929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095200099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1397095201508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397095202039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1397095208026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397095209778
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397095209922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095212851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397095214610
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397095215526
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397095215557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095215596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095216617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095230615
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095232824
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397095232824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397095236007
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397095238194
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397095238194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397095241772
