what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513099673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513100119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513107751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1397513109436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397513110088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397513123124
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397513123474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513125977
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397513131292
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397513131342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513131413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513131947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513137142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397513138573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397513142083
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397513143337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513145967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513148939
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397513149572
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1397513149824
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1397513149833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513149897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513150189
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1397513150361
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1397513150407
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1397513150489
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1397513152032
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1397513152043
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1397513152058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397513153708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513155806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513155906
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397513159107
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397513159209
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397513159210
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397513160131
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397513160143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397513164550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397522115273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397522117000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397522301010
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1397522302831
