what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1403258253979
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1403258253980
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1403258253980
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1403258253981
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1403258253981
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1403258254020
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1403258254021
os,sysinfo,,,"win32",1403258254024
arch,sysinfo,,,"x86_64",1403258254024
ws,sysinfo,,,"win32",1403258254024
locale,sysinfo,,,"en_US",1403258254024
processors,sysinfo,,,"4",1403258254024
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403258254024
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1403258254024
java.specification.name,sysinfo,,,"Java Platform API Specification",1403258254024
java.specification.vendor,sysinfo,,,"Oracle Corporation",1403258254024
java.specification.version,sysinfo,,,"1.7",1403258254024
java.vendor,sysinfo,,,"Oracle Corporation",1403258254024
java.version,sysinfo,,,"1.7.0_09",1403258254024
java.vm.info,sysinfo,,,"mixed mode",1403258254024
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1403258254024
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403258254024
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1403258254024
java.vm.specification.version,sysinfo,,,"1.7",1403258254024
java.vm.vendor,sysinfo,,,"Oracle Corporation",1403258254024
java.vm.version,sysinfo,,,"23.5-b02",1403258254024
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1403258254099
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1403258254889
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1403258256456
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1403258256782
