what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1398810990705
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1398810990706
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1398810990706
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1398810990743
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1398810990743
os,sysinfo,,,"win32",1398810990745
arch,sysinfo,,,"x86_64",1398810990745
ws,sysinfo,,,"win32",1398810990745
locale,sysinfo,,,"en_US",1398810990745
processors,sysinfo,,,"4",1398810990746
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398810990746
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1398810990746
java.specification.name,sysinfo,,,"Java Platform API Specification",1398810990746
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398810990746
java.specification.version,sysinfo,,,"1.7",1398810990746
java.vendor,sysinfo,,,"Oracle Corporation",1398810990746
java.version,sysinfo,,,"1.7.0_09",1398810990746
java.vm.info,sysinfo,,,"mixed mode",1398810990746
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398810990746
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398810990746
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398810990746
java.vm.specification.version,sysinfo,,,"1.7",1398810990746
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398810990746
java.vm.version,sysinfo,,,"23.5-b02",1398810990746
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1398810991563
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1398810991906
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1398810992121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398810992889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811062090
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1398811064116
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1398811064235
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1398811064325
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1398811064413
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1398811064563
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1398811070929
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811071001
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811071446
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1398811072461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811076717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811357708
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1398811363849
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1398811366214
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1398811366398
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1398811366555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811366718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398811367005
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811382743
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811382813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811383047
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1398811383409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811383470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811389625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1398811390300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398811391215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1398811394828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1398811400158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811403295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811404909
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811408144
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811408174
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1398811408190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398811411738
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1398811411738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398811411960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398812864022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398812869728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398814860652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398814861772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398814863938
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398814864037
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1398814864497
