what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1397123117533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123119805
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123127137
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123127164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123127204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123128602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123172300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397123173313
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397123175545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123177892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123182794
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123184685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1397123186217
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397123188130
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123212132
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397123216335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1397123223845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123229125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123230643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123232096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123233371
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397123233596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123236355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123236415
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397123236482
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397123238024
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1397123238059
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1397123238064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123238078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123238223
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1397123238272
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1397123238291
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1397123238322
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1397123238946
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1397123238947
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1397123238949
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123241663
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1397123241664
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1397123241682
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1397123242757
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1397123242757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123266038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397123538362
